word,count
foudain,1
rauages,1
fouuent,1
auroyétbon,1
altere,1
ftranger,1
ediét,1
dequatorzeà,1
aflemblee,1
preíque,1
decuyure,1
enlonce,1
euure,1
couftumes,1
matiere,1
pellons,1
ro,1
ayeencheri,1
rem,1
payfans,1
lecon,1
cfcuz,1
monnoyeen,1
miltrois,1
donnoitb,1
onten,1
benem,1
leliard,1
cefte,1
teen,1
caufec,1
fouz,1
detelles,1
perfums,1
gouuerner,1
defel,1
fón,1
email,1
alechéle,1
vinten,1
ifles,1
aprocheentien,1
accidentale,1
defpencetant,1
traitte,1
puren,1
amiens,1
necefsitéforcoit,1
accroiflemét,1
yuoire,1
läproyes,1
ciennemét,1
fabloneufe,1
nevaudroit,1
anciénes,1
suifles,1
bonténe,1
pourlemoins,1
dente,1
mefouuiét,1
dôques,1
fouragerent,1
pieto,1
quieftauiourd,1
dechiquetu,1
vot,1
lecheuereau,1
corrigees,1
fr,1
homes,1
nefçaurions,1
durerent,1
moter,1
del,1
viuiers,1
u,1
affeurc,1
cheriflement,1
dequoynourir,1
montpyrence,1
onatrop,1
noftre,1
lycur,1
trouuera,1
fift,1
éfpagne,1
faiten,1
decrié,1
ual,1
pofa,1
marqueeau,1
uoit,1
nn,1
debuoit,1
enauons,1
appian,1
gnez,1
aduiét,1
cheres,1
bretagne,1
defenfes,1
be,1
guer,1
contratz,1
fuper,1
acouftrer,1
futonds,1
fauffaireen,1
ciceron,1
medales,1
beleau,1
viues,1
prouéce,1
mefpréd,1
.&,1
delasurie,1
ánnales,1
feptannecs,1
our,1
cícuz,1
efpigles,1
venduz,1
xxix,1
auoyét,1
afra,1
lamproyes,1
vé,1
neceffai,1
pc,1
ara,1
alpes,1
fipeu,1
prufia,1
milefcuz,1
fouragoyent,1
mout,1
feruiable,1
princeviét,1
efpar,1
vefpafian,1
ciq,1
conflituces,1
p,1
monílré,1
leon,1
mo,1
pefte,1
igno,1
feulement,1
lésfouloit,1
rof,1
fuafion,1
procede,1
laronneaus,1
antoine,1
encheriffent,1
nebail,1
falines,1
dalers,1
feulemét,1
toyent,1
fciences,1
quiefme,1
aportoitlà,1
commeau,1
fetrouüetrois,1
tragedies,1
alice,1
republique,1
temil,1
necinquante,1
emportaft,1
eſtimation,1
cores,1
oftansl,1
fidele,1
fepaiffent,1
neat,1
neufuiefme,1
couftume,1
fertes,1
foldat,1
qué,1
eftoit,1
detrois,1
faizans,1
füyui,1
urplus,1
imagers,1
efperance,1
períonne,1
ve,1
gleterre,1
partiele,1
nombreen,1
quelereal,1
ik,1
meilleureterre,1
futfent,1
eftimé,1
dequatregrains,1
artizans,1
uee,1
encheri,1
roign,1
r,1
didi,1
nefe,1
cix,1
ccccc,1
helio,1
gaignedeniers,1
fte,1
refpondreen,1
grad,1
poiétiers,1
quets,1
fec,1
enuoyoit,1
foye,1
atrop,1
volunte,1
aufsieftil,1
merluz,1
arfe,1
parauapt,1
leftroit,1
puiffent,1
grafle,1
côtrairelebon,1
netrouueroit,1
dle,1
detellemonnoye,1
muy,1
mauuais,1
’,1
prefter,1
oftee,1
fi,1
mônoyes,1
lurifconfultes,1
rables,1
ona,1
ucrgnc,1
penébien,1
poitou,1
accordees,1
ditil,1
'^,1
queleblé,1
falutz,1
uoyons,1
ferrand,1
duchapon,1
nes,1
maleſtroit,1
tedefel,1
fages,1
produiff,1
prefquetoutela,1
galtez,1
viue,1
rion,1
regi,1
gneurie,1
nele,1
reunies,1
