word,count
gilers,1
eiit,1
aucc,1
æpotelef,1
paftiffier,1
ainfieftil,1
orla,1
phocion,1
elleaucit,1
?»,1
vncaction,1
iib,1
etn,1
vnefemme,1
helifee,1
dixansau,1
idé,1
aflem,1
mentles,1
preuueés,1
faict,1
delouage,1
iut,1
ute,1
oftant,1
diuifée,1
ceuft,1
infiniz,1
queritur,1
depitant,1
ledia,1
peoir,1
cognoiltra,1
appa,1
profi,1
pyiuo,1
caflant,1
confirmatif,1
aprochét,1
coiurations,1
relolue,1
tranfportecauec,1
pignora,1
appellé,1
euclie,1
temperé,1
letour,1
neferoys,1
inhiniz,1
remus,1
moyfc,1
circiter,1
mefpriferla,1
bere,1
chappoient,1
ptions,1
yapoint,1
commele,1
faperfhitione,1
heantmoinsil,1
gaiges,1
auoitaucun,1
aquin,1
vniefme,1
imbe,1
yabienauffi,1
deliuree,1
mefchácetés,1
pluserarid,1
jaquelle,1
dafoit,1
pompee,1
recognoifloit,1
baizerles,1
fonner,1
$.,1
donofor,1
quita,1
sv,1
iiec,1
ícauoir,1
nfr,1
qvatrieme,1
preuuéfcroiteuidente,1
precipice,1
repet,1
demeurale,1
mem,1
ades,1
euffent,1
pasmonftré,1
uidict,1
metíon,1
enfareur,1
doncle,1
dedieuil,1
rourné,1
fouuentsurles,1
debemus,1
pasarrefter,1
preuc,1
vita,1
ilsoyentptónon,1
ues,1
prophetea,1
""",",1
gétilhomme,1
dephilofophes,1
amfterdan,1
auoys,1
nya,1
fonayde,1
laiffer,1
oftoit,1
ptopreà,1
preffeauecledia,1
iefus,1
heli,1
vncdes,1
ht,1
ellesont,1
delasorerictho,1
lep,1
phyfiognomie,1
hrs,1
vntefmoignage,1
dulierg,1
veirent,1
perfecutoit,1
bourles,1
dontles,1
filssce,1
iflinkton,1
bienauffi,1
peutfaire,1
diligemmentce,1
nciugcrà,1
fili,1
gueur,1
diritus,1
ayantla,1
grád,1
apollo,1
femperur,1
mefchás,1
iceluy,1
eucan,1
lyciens,1
