word,count
ze,1
tragedies,1
befoin,1
depart,1
atrique,1
mefinement,1
fouhaitz,1
leil,1
foufrir,1
acouftumerent,1
lepeze,1
charette,1
artizans,1
efcripture,1
marez,1
gafcogne,1
tite,1
ayfees,1
acableroit,1
quele,1
ucl,1
prefquestous,1
efpargne,1
tages,1
ouurages,1
fcauez,1
ecoffois,1
foixan,1
pofsible,1
aimét,1
ant,1
fonc,1
differens,1
nois,1
ench,1
àla,1
normádie,1
máger,1
fcauoir,1
monftrébel,1
auraport,1
ftemes,1
ik,1
laifans,1
charons,1
védues,1
caufequele,1
employe,1
feparemet,1
fournaizeil,1
peuuent,1
monftrer,1
ouembre,1
ennemy,1
cat,1
raporteà,1
duit,1
punique,1
ain,1
clenard,1
aperceüe,1
difentils,1
méce,1
renduleverre,1
vntreute,1
vifargent,1
trefont,1
carles,1
alteré,1
plätureux,1
queleno,1
fecours,1
grece,1
contéte,1
ſalez,1
fournaize,1
f,1
ceftuy,1
fobre,1
detail,1
maiftres,1
saladin,1
aſie,1
fus,1
defpens,1
fomme,1
extre,1
veiel,1
fubiects,1
baronnies,1
dle,1
daciers,1
lerichevoyant,1
moye,1
contratz,1
facon,1
comele,1
expedient,1
ept,1
deffus,1
confumét,1
fueilletter,1
decarat,1
oftee,1
aloy,1
cyment,1
qlefpaignol,1
lement,1
depouille,1
faure,1
portoyent,1
priuileges,1
louys,1
bie,1
nierjau,1
afles,1
efre,1
aprins,1
fuff,1
tesfois,1
peupleinfini,1
more,1
ducats,1
;&,1
auons,1
blanque,1
trouuons,1
bruflé,1
norue,1
entreautres,1
refpondreen,1
ftes,1
auez,1
aportera,1
deleton,1
fubicét,1
fortant,1
maleſtroit,1
prouifion,1
vrayeftqu,1
raportece,1
ancié,1
purgation,1
ioint,1
caufes,1
em,1
fuif,1
decuiure,1
pourions,1
quize,1
haufler,1
tefmoing,1
necefsi,1
eroit,1
prodi,1
forgeat,1
diminutio,1
degaft,1
nt,1
cómun,1
ouau,1
tx,1
vfer,1
doleances,1
pouuos,1
latrafique,1
barut,1
dece,1
fà,1
monnoyene,1
trouua,1
craignat,1
encherift,1
iulian,1
ix,1
uctelles,1
hom,1
hydropifies,1
peuuentlonguement,1
etnepuis,1
clcu,1
quetelles,1
noftrefel,1
monoyes,1
“,1
couftera,1
efcoffe,1
aur,1
manierede,1
appellons,1
duquella,1
fcauoyent,1
fetrouüetrois,1
bœuf,1
encherifttout,1
lebillon,1
poif,1
tin,1
perpetuelle,1
maiorque,1
defon,1
hift,1
rienen,1
enuieux,1
báquet,1
ls,1
toufiouts,1
