token_,count,p-value,obs/exp
aufli,282,0.0005666512540418798,1.3503147919690535
republiques,278,0.0006123525730731845,1.3503147919690532
parle,278,0.012980362645070088,1.226756575710447
populaire,278,0.0019117312648479646,1.30342886169235
fix,277,0.0005980505975769123,1.3503147919690532
celà,274,0.0006617858637210592,1.3503147919690535
mis,273,0.055205809920547605,1.15923251008664
mouvement,273,0.0009080623452821704,1.3356374572737375
diable,271,0.0007322840460446432,1.34535039935152
pierre,264,0.01589926641434035,1.2250278525080072
voir,263,0.0468985322907893,1.1681999680521744
heure,261,0.08062290925904243,1.1405571543816275
pere,254,0.003567044904150665,1.2942639892835455
iustice,252,0.0011071836089803586,1.3503147919690535
raifon,250,0.0010560696313360377,1.3503147919690535
file,246,0.0011419392765491274,1.3503147919690535
auoyent,246,0.0011419392765491274,1.3503147919690535
vient,245,0.08810114201992382,1.140783186318683
mer,244,0.02602617916869497,1.206874759122524
chofe,244,0.0012949052744955479,1.3503147919690532
pris,236,0.08382007310001231,1.1463103989377574
outre,236,0.002510610812634688,1.3222999622601517
fuft,234,0.001444513083351793,1.3503147919690532
ennemi,234,0.005297602781363614,1.2949740218063872
veut,232,0.0019459412150372312,1.3445194495142505
monarchie,232,0.0258148577957715,1.2142365571194589
iour,230,0.0015625247549671524,1.3503147919690535
tres,229,0.06647933060944265,1.162489050228997
fçauoir,225,0.0019645213829228114,1.3503147919690532
tre,225,0.09430335499375349,1.1421835646354774
vnc,224,0.0019186490687989129,1.3503147919690535
appelle,223,0.033408423004063395,1.2044807944363958
premiere,223,0.009175389109141759,1.2759330449538089
pource,222,0.002176414336461599,1.344259568686681
autrement,221,0.0021259926883126267,1.3503147919690535
ariftote,220,0.0020762462977062046,1.3503147919690532
mourir,218,0.019355210048407432,1.2368429607111497
caufe,214,0.002141294505762798,1.3503147919690535
nc,214,0.002549987709893763,1.344034258052918
femble,208,0.0026327974624616836,1.3503147919690532
pluftoft,207,0.002570120351466865,1.3503147919690532
eftant,207,0.002570120351466865,1.3503147919690532
perfonne,206,0.0029891075847800065,1.3503147919690532
alors,205,0.0274445981834863,1.224843063511752
finon,204,0.0028503511733497435,1.3503147919690532
haut,204,0.0033913137062428164,1.3437278905448138
difoit,203,0.0027823196660541486,1.3503147919690532
voit,202,0.010038989285103253,1.2866206980082489
plante,201,0.0037585868407080275,1.3370111979595058
peuuent,199,0.0030124027790909935,1.3503147919690535
foubs,195,0.0032619195336399415,1.3503147919690532
encor,194,0.0037972227105666826,1.3433901007281863
parles,191,0.0035325593350174684,1.3503147919690535
quc,191,0.009596895404679506,1.3025763902327736
ange,190,0.0057937646445113435,1.3293254428710888
pat,190,0.004113649883483153,1.3432450810163359
yeux,188,0.006556729467268075,1.3221832338030313
pres,187,0.024843509399458015,1.2438860398926745
ic,187,0.0038261644170222283,1.3503147919690532
mefine,185,0.004351710963277292,1.3503147919690532
citoyen,184,0.0714800703146952,1.1775256953663782
aucun,183,0.00695982805420528,1.328535521130843
faifoit,183,0.004945806465599428,1.3503147919690535
lune,182,0.004829950501233062,1.3503147919690532
efcript,179,0.005360712270215296,1.3503147919690532
souveraineté,179,0.005360712270215296,1.3503147919690532
grec,176,0.046927862384398805,1.2125275682987418
femblable,174,0.005674551714636262,1.3503147919690535
maifon,168,0.0058596420224308575,1.3503147919690532
commun,167,0.054343122356995226,1.2058960976408122
fer,167,0.011379560543759014,1.3187284810458006
faute,165,0.009229893177272908,1.3262020278267488
toufiours,164,0.0063530268879822115,1.3503147919690532
quela,164,0.010690713100980756,1.318164439779314
iuges,164,0.0063530268879822115,1.3503147919690532
auons,164,0.0063530268879822115,1.3503147919690532
ia,163,0.007411642306301751,1.3503147919690535
chacune,163,0.007411642306301751,1.3503147919690535
ge,162,0.010240476683058684,1.3257636139332525
sathan,160,0.006889170724279361,1.3503147919690532
feigneurs,160,0.006889170724279361,1.3503147919690532
voyons,158,0.015470841782092216,1.3088940928288983
parauant,158,0.007849097972922168,1.3503147919690532
couftume,158,0.007849097972922168,1.3503147919690532
void,155,0.008724801267617894,1.3503147919690532
principe,154,0.016807169482892684,1.2996779872702138
ve,153,0.030438933340887417,1.2674733936887432
perfonnes,153,0.008309857105436087,1.3503147919690532
lefquelles,151,0.009469184825183266,1.3503147919690532
enuers,151,0.009469184825183266,1.3503147919690532
pouuoit,150,0.009242115668287653,1.3503147919690532
tou,150,0.057692459267725205,1.220163968646735
ble,149,0.05006970020713326,1.2343368343766192
bié,149,0.009017254818467784,1.3503147919690532
trouue,149,0.009017254818467784,1.3503147919690532
chaleur,148,0.01755681783902049,1.3061868575909796
té,147,0.02369609310890276,1.2889368468795508
laloy,147,0.010279362169806223,1.3503147919690532
lefquels,146,0.01003199518118978,1.3503147919690532
prefque,146,0.01003199518118978,1.3503147919690532
venu,145,0.016511041774686545,1.3229435461858967
difference,145,0.00978696073985095,1.3503147919690535
beftes,144,0.01143345406670786,1.3503147919690532
eftoient,144,0.01143345406670786,1.3503147919690532
haute,143,0.01582420499012967,1.3225685976135249
iugement,143,0.011161454108851767,1.3503147919690532
cecy,142,0.059701928329063646,1.2291326952538817
ur,141,0.01794925509045231,1.3221832338030313
tenu,140,0.01757480317543594,1.3219865096200523
route,140,0.012418651459410424,1.3407380913167906
proportion,139,0.023930316288865095,1.30342886169235
auoient,139,0.01212219507904094,1.3503147919690532
entendement,138,0.032110433841961224,1.2763249403543107
enfemble,138,0.011828269887806758,1.3503147919690532
menu,138,0.014146450984368432,1.340600297062801
iuger,138,0.011828269887806758,1.3503147919690532
fit,138,0.07359745386003584,1.2100223460501907
feul,137,0.011536927109340888,1.3503147919690535
couleur,136,0.05536679524933512,1.2408298088364274
noftre,135,0.01316900161251991,1.3503147919690532
voix,135,0.07117209247948938,1.2152833127721479
voulu,135,0.035522303904520006,1.2747727057050502
lcs,134,0.012848397163517735,1.3503147919690535
marque,134,0.07035795255375882,1.2225823116476562
for,134,0.07984599615811507,1.206281214159021
tiers,134,0.07984599615811507,1.206281214159021
no,132,0.04550284054413364,1.2552222009853171
autruy,132,0.020789197936031015,1.3203077965919632
deputez,131,0.014310049640601246,1.3503147919690532
efclaues,130,0.013960178407305273,1.3503147919690535
verité,129,0.016326837145746363,1.3503147919690535
mere,129,0.06624581149064998,1.2266944236901964
marc,128,0.07466050577205796,1.2171851645918228
lesautres,127,0.015554362017960116,1.3503147919690532
pluficurs,127,0.015554362017960116,1.3503147919690532
tribun,126,0.06374655901662028,1.232896114406527
maiefté,125,0.017755231504157202,1.3503147919690535
latin,123,0.045820866335990015,1.2678528199404089
pourueu,123,0.016911907830526592,1.3503147919690535
ligne,123,0.0393360060407018,1.2776055339399506
nes,120,0.0435989868283418,1.2758879924117037
tué,120,0.07737423405109635,1.2275589017900483
ruine,120,0.026815097393601238,1.3173802848478569
fou,119,0.031080785015592947,1.3064021158074581
el,117,0.07451039103818305,1.234272114534213
clle,117,0.02101875469038428,1.3503147919690532
meíme,116,0.020513923679537478,1.3503147919690535
iours,116,0.020513923679537478,1.3503147919690535
fang,116,0.020513923679537478,1.3503147919690535
firent,116,0.034551595968415144,1.3053042989034183
lifons,115,0.02001200180592304,1.3503147919690535
ila,114,0.023435975807201706,1.3385729242128008
ceft,114,0.01951310626740077,1.3503147919690532
pouuoir,114,0.01951310626740077,1.3503147919690532
