token_,count,p-value,obs/exp
cit,24,0.012147814189822073,2.347848398655601
he,24,0.03261168057241946,2.0845382978717955
us,24,0.020471805418835858,2.1242437892598294
latin,24,0.07163596484670347,1.7026381516968097
facrifices,24,8.991611520748679e-05,6.372731367779488
nui,24,8.991611520748679e-05,5.719117894161078
plein,24,0.07163596484670347,1.6645193871065829
violent,24,0.0034981691822308183,3.0141297009767847
luge,24,0.0007149377662733772,4.289338420620809
allemaigne,24,2.459282535562911e-05,8.260948069343781
plutarque,23,0.02879670978320133,2.0357336313740033
figure,23,0.06623317693989698,1.811457892324325
àla,23,0.04475277648324566,1.925693975624057
oeuvre,23,4.394955509421383e-05,6.895226815944204
quis,23,0.010026342218648059,2.6067320889545162
lon,23,0.06623317693989698,1.7100162503541627
ray,23,0.010026342218648059,2.63891396659593
prophetes,23,4.394955509421383e-05,7.370759699802425
dieux,23,0.0026099453057871905,3.447613407972102
brufler,23,0.00015525075108822726,6.28682444983148
tué,23,0.0938520969575194,1.6193335704111387
lo,23,0.0011571061922004695,3.62291578464865
diaboliques,22,1.7925291098473623e-05,8.889498465924285
ae,22,0.014719024199128941,2.377424008328588
trouué,22,0.014719024199128941,2.377424008328588
condamné,22,0.04006033049839127,2.086310864451618
malin,22,7.8198894525133e-05,7.050291886767537
leu,22,0.014719024199128941,2.524178576743933
bouc,22,7.8198894525133e-05,7.863787104471483
presomptions,22,1.7925291098473623e-05,9.293566578011752
salomon,21,0.001246253592589467,3.98295710486218
oracle,21,0.001246253592589467,4.435565866778337
iu,21,0.03536786304374231,2.054367348823651
sain,21,0.00045497090201310024,5.7401440628896125
ab,21,0.012055169319987145,2.567959186029563
dauid,21,0.00045497090201310024,4.87912245345617
lessorciers,21,3.299493167793485e-05,9.293566578011754
mary,21,0.00045497090201310024,5.004228157390943
ls,21,0.055079109245257045,1.8948048362936585
nt,21,0.02137993995537676,2.296057625155845
village,21,0.001246253592589467,4.065935377880142
docteur,20,0.004675615422409668,3.2609005536883346
quieft,20,0.004675615422409668,3.379478755640638
paul,20,0.017843248985166087,2.511774750813987
mo,20,0.07479197713121773,1.8774881975781321
ent,20,0.07479197713121773,1.8587133156023508
mefchans,20,0.030705648242678317,2.212753947145656
six,20,0.07479197713121773,1.787224341925337
diuine,20,0.07479197713121773,1.7702031577165245
tantoft,20,0.017843248985166087,2.5815462716699313
vifion,20,0.00024398629284214283,5.995849405168873
lay,20,0.017843248985166087,2.6179060783131702
entendu,20,0.049357064815614436,2.088441927643091
ui,20,0.049357064815614436,1.9361597037524485
samuel,20,0.0007715056784158268,5.023549501627974
prieres,20,0.0007715056784158268,5.163092543339863
dece,20,0.009575017220663134,2.8595589470805396
poudre,20,0.00024398629284214283,5.808479111257347
fs,20,0.0007715056784158268,5.163092543339863
confefla,20,6.0515544002279116e-05,8.081362241749352
sorcellerie,20,6.0515544002279116e-05,9.293566578011752
quien,19,0.0033039459274001684,4.2042324995767455
nb,19,0.00011055668020888176,7.677294129661884
id,19,0.007313899547883256,3.0444442238314364
dicu,19,0.007313899547883256,3.0444442238314364
dirons,19,0.06801001587130028,1.839351718564826
ci,19,0.06801001587130028,1.9619751664691478
fonges,19,0.00042748387617443274,6.539917221563827
cha,19,0.04356922328648658,2.029629482554291
mettray,19,0.0012990973970021496,4.306774755663984
defendu,19,0.04356922328648658,2.207222062277791
so,19,0.014474956459925716,2.7590275778472395
recite,19,0.00042748387617443274,7.357406874259304
proceder,19,0.0033039459274001684,3.9239503329382956
presomption,19,0.00011055668020888176,9.293566578011752
coll,19,0.00011055668020888176,8.026262044646513
