token_,count,p-value,obs/exp
foient,46,0.002450679580309249,2.1287487818743815
termes,46,0.0319679654377854,1.60954176190502
eftranger,46,0.0003085184647079432,2.5381235476194552
vaffal,46,8.810791111222508e-05,2.86918314078721
iaçoit,46,0.002450679580309249,2.0949591186700265
tire,45,0.06768210541913752,1.467195924266187
fouucraineté,45,0.0001320613395548854,2.86918314078721
maintenir,45,0.007713674399459307,1.8712063961655718
cles,45,0.0021353231841217306,2.1518873555904077
eftle,45,0.007713674399459307,1.8712063961655718
fil,45,0.015959324124607214,1.74477353155979
loyers,45,0.0033694428941070343,2.017394395866007
marques,45,0.0021353231841217306,2.188360022634313
fuiuant,45,0.0001320613395548854,2.7470902411792433
eftà,45,0.011228156843072214,1.7686745388414307
degré,45,0.04024556173908271,1.5370623968502912
atheniens,45,0.00044879247333058056,2.5316321830475386
quelconque,45,0.03017844167794795,1.6139155166928056
defenfes,45,0.00044879247333058056,2.4829469487581624
efleu,45,0.0001320613395548854,2.8068095942483575
mandement,45,0.0007810203882815302,2.347513478825899
cenfeurs,45,0.0001320613395548854,2.7470902411792433
doubte,44,0.06507884015975939,1.4852242140545557
téps,44,0.010260468937903815,1.8296240318063368
orient,44,0.08270280450360773,1.4184725639846882
craindre,44,0.050313107047767085,1.5029054546980625
confuls,44,0.00010180092235070702,2.86918314078721
neceffaire,44,0.0069647099901502816,1.9127887605248066
quin,44,0.010260468937903815,1.8565302675681945
changer,44,0.08270280450360773,1.4027117577181916
grains,44,0.0046036390609049465,2.036194487010278
amende,43,0.0040720347315832805,2.0562479175641672
merite,43,0.013556404225516116,1.8143363978507356
gift,43,0.0005326287778743963,2.570309896955209
equalité,43,0.0001533891631681573,2.803974433042046
fou,43,0.07984511383468859,1.434591570393605
confentement,43,0.0009336371528526376,2.4191151971343143
aufquels,43,0.06244954819089232,1.5045716469981711
arrefts,43,0.0002920325603694007,2.6820625011706527
hongrie,43,0.0002920325603694007,2.624997341571277
lacedemoniens,42,0.00043068610852645383,2.677904264734729
dequoy,42,0.01240271211305072,1.8539337217394283
feroyent,42,0.059795564296435455,1.487724591519294
entreles,42,0.0035731275845182313,2.0776843433286696
efcrit,42,0.0013346726298742496,2.3628567041777027
venitiens,42,0.00022988487224842594,2.8691831407872104
intereft,42,0.00022988487224842594,2.7387657252968824
septentrion,42,0.017787108992684045,1.7721425281332766
anciennes,42,0.01240271211305072,1.8539337217394283
fila,41,0.0320025972503149,1.656852236229234
execution,41,0.00034261935900912235,2.6735570175517185
moitié,41,0.07400624646443812,1.489069731294628
prouinces,41,0.004925163013075617,2.063798399513607
dons,41,0.007564851231231478,1.993839131733485
quád,41,0.011284516643915086,1.8672461709885018
roturiers,41,0.00034261935900912235,2.800869256482753
obeir,41,0.0006315014813311137,2.502904441963311
hiftoires,41,0.011284516643915086,1.8672461709885018
pourles,41,0.0011158209097602452,2.4007450769852166
mefpris,41,0.00310772650129262,2.178453866153252
maiftres,41,0.004925163013075617,2.0282156684875106
tenus,41,0.0006315014813311137,2.557315408092948
abus,41,0.004925163013075617,2.0282156684875106
chois,41,0.0006315014813311137,2.557315408092948
eglife,41,0.011284516643915086,1.8380704495668063
annee,41,0.0011158209097602452,2.3527301754455126
harmonique,41,0.0006315014813311137,2.6141446393839023
loyer,40,0.021473681822017462,1.7129451586789315
obeiffance,40,0.0005077004356618725,2.6083483098065545
toutainfi,40,0.002676506810786409,2.2503397182644784
cantons,40,0.0009204031274980848,2.5503850140330755
ducs,40,0.01500437059734141,1.8217035814521967
vfer,40,0.01500437059734141,1.851085897282071
autát,40,0.02996485603629677,1.6395332233069773
neron,40,0.002676506810786409,2.2503397182644784
effe,40,0.054420275616796326,1.5302310084198452
papes,40,0.0016001717067863593,2.3421903190099678
fucceffeur,40,0.0005077004356618725,2.7325553721782954
monarques,40,0.0009204031274980848,2.4949418615540955
anglois,40,0.04083380388334254,1.5939906337706722
maifons,39,0.009166148461607484,1.9981811159053782
murailles,39,0.0022799823989767434,2.3312113018896086
extreme,39,0.013666834965079944,1.8649690415116866
afie,39,0.0013331325489959961,2.380811542355344
deflors,39,0.0004009896197743323,2.79745356226753
chreftiens,39,0.003752905565439839,2.1518873555904077
paffer,39,0.0022799823989767434,2.2836355610347185
arragon,39,0.0004009896197743323,2.7292229875780776
gardé,38,0.008171923929291657,1.9823447154529814
publier,38,0.0032268882409949413,2.18057918699828
iiij,38,0.0005973185368473616,2.6592429109735116
empefcher,38,0.005225911686532235,2.096710756729115
ona,38,0.001918475217508788,2.319765092551361
ennemi,38,0.0005973185368473616,2.7257239837478493
impofts,38,0.0005973185368473616,2.7956143423054867
lige,38,0.001918475217508788,2.319765092551361
condamnez,38,0.005225911686532235,2.0571501764134714
senateurs,38,0.0005973185368473616,2.7956143423054867
hautes,38,0.04896990778609133,1.6033670492634406
ages,37,0.0015920825296227802,2.468832004863413
expedient,37,0.0008842696886486562,2.5892628343689457
faifoyent,37,0.02396563138603885,1.7693296034854462
gouuerneur,37,0.0004679226763400942,2.79367832129281
pl,37,0.011118085497783784,1.9301777492568504
meurs,36,0.009914845550224705,1.98635755900653
peuft,36,0.031363090827544175,1.7506880181074502
ij,36,0.04346802445188948,1.639533223306977
noble,36,0.04346802445188948,1.639533223306977
cust,36,0.015011315272202983,1.9127887605248066
feulemét,36,0.015011315272202983,1.8780107830607191
turcs,36,0.0022999372274278445,2.459299834960466
perdu,36,0.031363090827544175,1.6932884109563862
licite,36,0.015011315272202983,1.9127887605248066
priuilege,36,0.0013006424942220718,2.5192827577643793
nefe,36,0.009914845550224705,1.9488791144969728
pauure,36,0.015011315272202983,1.9127887605248066
contraint,36,0.009914845550224705,1.9488791144969728
article,36,0.05873106770536287,1.5416506428110384
furplus,36,0.0022999372274278445,2.459299834960466
iurifdiction,36,0.0007010842253137258,2.86918314078721
fecours,36,0.0022999372274278445,2.347513478825899
egypte,36,0.031363090827544175,1.721509884472326
our,36,0.04346802445188948,1.665977307553864
iuftes,36,0.0013006424942220718,2.5192827577643793
commiflion,36,0.0007010842253137258,2.86918314078721
ariftocratiques,36,0.0007010842253137258,2.86918314078721
qvatriesme,36,0.04346802445188948,1.665977307553864
doux,35,0.029027238474850624,1.761779121536006
executer,35,0.008764576812449633,2.008428198551047
iacoit,35,0.001900236218090302,2.574907946860317
ncantmoins,35,0.005485368580987863,2.1830741288598334
voleurs,35,0.008764576812449633,2.0921127068240075
carle,35,0.008764576812449633,2.0921127068240075
impoffible,35,0.02010801461943815,1.8596557393991175
iln,35,0.05557340121781787,1.6197001601218122
fion,35,0.07399462671824854,1.498827013844065
harmonie,35,0.07399462671824854,1.5215365140538233
expres,35,0.001900236218090302,2.4493026811598133
mariage,35,0.00329928824046938,2.3909859506560083
pourauoir,35,0.00329928824046938,2.282304771080735
faifoient,35,0.001900236218090302,2.5105352481888086
