document,term,tfidf
Harangue - Orléans_corrected,faict,0.06656246961598361
Harangue - Orléans_corrected,hommes,0.06492393753199416
Harangue - Orléans_corrected,pays,0.06473934807515071
Harangue - Orléans_corrected,maulvais,0.06398062090051916
Harangue - Orléans_corrected,chascung,0.06293328241446196
Harangue - Orléans_corrected,quand,0.061338205968240335
Harangue - Orléans_corrected,aulcuns,0.0613231802307891
Harangue - Orléans_corrected,seigneur,0.06119290661997981
Harangue - Orléans_corrected,dieu,0.05817837189755262
Harangue - Orléans_corrected,guerre,0.057891248614211334
Harangue - Orléans_corrected,peult,0.057891248614211334
Harangue - Orléans_corrected,feu,0.05776894600128812
Harangue - Orléans_corrected,chrestiens,0.05776599886325025
Harangue - Orléans_corrected,choses,0.056619882432221845
Harangue - Orléans_corrected,grande,0.056619882432221845
Harangue - Orléans_corrected,hérétiques,0.05611438312405135
Harangue - Poissy_corrected,évangélistes,0.3937519094707578
Harangue - Poissy_corrected,harangues,0.1522617434116388
Harangue - Poissy_corrected,roy,0.14618774024956482
Harangue - Poissy_corrected,estre,0.13263473306832926
Harangue - Poissy_corrected,faict,0.11828632795106582
Harangue - Poissy_corrected,religion,0.11052894422360772
Harangue - Poissy_corrected,conscience,0.1100412050314924
Harangue - Poissy_corrected,lesdictz,0.10969489465874535
Harangue - Poissy_corrected,concile,0.10431597402907043
Harangue - Poissy_corrected,aujourd,0.10077794631751408
Harangue - Poissy_corrected,royaulme,0.0972068819985272
Harangue - Poissy_corrected,ycelle,0.09712399445689843
Harangue - Poissy_corrected,chose,0.09163863615903658
Harangue - Poissy_corrected,présentée,0.08838758065366284
Harangue - Poissy_corrected,fault,0.08410881782332702
Harangue - Poissy_corrected,foy,0.08332018457016617
Harangue - Poissy_corrected,huy,0.08332018457016617
Harangue - Poissy_corrected,hérésie,0.08227117099405902
Harangue - Poissy_corrected,dieu,0.08145656547469919
Harangue - Poissy_corrected,pourtant,0.08121206678537764
Harangue - Poissy_corrected,enseigner,0.07727370042159196
Harangue - Poissy_corrected,cela,0.07715568560794564
Harangue - Poissy_corrected,moyen,0.07527311778704188
Harangue - Poissy_corrected,doulceur,0.07477387992595605
Harangue - Poissy_corrected,colloque,0.0715912562674105
Harangue - Poissy_corrected,différendz,0.0715912562674105
Harangue - Poissy_corrected,con,0.07127449479036178
Harangue - Poissy_corrected,saincte,0.06954398268604696
Harangue - Poissy_corrected,besoing,0.06943348714180514
Harangue - Poissy_corrected,conciles,0.06938827690620995
Harangue - Poissy_corrected,grandz,0.06938827690620995
Harangue - Poissy_corrected,bonne,0.06936518475547192
Harangue - Poissy_corrected,aultres,0.06817586324557277
Harangue - Poissy_corrected,doibt,0.06817586324557277
Harangue - Poissy_corrected,bon,0.06751122490695244
Harangue - Poissy_corrected,salut,0.06718529754500939
Harangue - Poissy_corrected,peuple,0.0645198152460359
Harangue - Poissy_corrected,confession,0.06418200277936324
Harangue - Poissy_corrected,poursuytes,0.06418200277936324
Harangue - Poissy_corrected,trinité,0.06418200277936324
Harangue - Rouen_corrected,roy,0.3635601455074992
Harangue - Rouen_corrected,harangues,0.1851255155262227
Harangue - Rouen_corrected,juges,0.14412642960202848
Harangue - Rouen_corrected,calais,0.13640231320178017
Harangue - Rouen_corrected,majorité,0.11869544145179851
Harangue - Rouen_corrected,échiquier,0.11869544145179851
Harangue - Rouen_corrected,normandie,0.1096903375243824
Harangue - Rouen_corrected,messieurs,0.10735180056591541
Harangue - Rouen_corrected,dieu,0.10691595276605047
Harangue - Rouen_corrected,havre,0.10641119530996367
Harangue - Rouen_corrected,bien,0.10405187492016113
Harangue - Rouen_corrected,anglois,0.10057085411921858
Harangue - Rouen_corrected,majeur,0.0976953839665913
Harangue - Rouen_corrected,temps,0.09594078216979307
Harangue - Rouen_corrected,aultres,0.09419404694320645
Harangue - Rouen_corrected,rouen,0.08947788089494811
Harangue - Rouen_corrected,an,0.08880298840896515
Harangue - Rouen_corrected,angleterre,0.08354290349426532
Harangue - Rouen_corrected,loy,0.08197198930058322
Harangue - Rouen_corrected,estre,0.07940944777047573
Harangue - Rouen_corrected,parlerai,0.079130294301199
Harangue - Rouen_corrected,faire,0.075741696980729
Harangue - Rouen_corrected,nostre,0.07514099019220129
Harangue - Rouen_corrected,non,0.0746206083542835
Harangue - Rouen_corrected,jour,0.07102474357367072
Harangue - Rouen_corrected,royaulme,0.06907076789140777
Harangue - Rouen_corrected,duché,0.0672840701603472
Harangue - Rouen_corrected,jugemens,0.0672840701603472
Harangue - Rouen_corrected,quatorze,0.0672840701603472
Harangue - Rouen_corrected,faict,0.06537133464744645
Harangue - Rouen_corrected,debvez,0.06513025597772754
Harangue - Rouen_corrected,ville,0.06326137799805177
Harangue - Rouen_corrected,jusques,0.06283496835245023
Harangue - Rouen_corrected,cens,0.06198605213549882
Harangue - Rouen_corrected,pays,0.061478991975437415
Harangue - Rouen_corrected,veult,0.061478991975437415
Harangue - Rouen_corrected,grace,0.06139623812569579
