token_,count,p-value,obs/exp
eten,19,0.0012990970626303498,4.659090493434289
nb,19,0.00011055664396661604,7.697627771760997
id,19,0.007313898114726567,3.052507564663844
dicu,19,0.007313898114726567,3.052507564663844
dirons,19,0.06801000911261108,1.844223320317739
ci,19,0.06801000911261108,1.9244069429402493
fonges,19,0.0004274837515834475,6.55723847224085
cha,19,0.043569218044895705,2.0118799858011696
mettray,19,0.0012990970626303498,4.318181432939096
defendu,19,0.043569218044895705,2.213067984381287
bouche,19,0.043569218044895705,2.0586678924477084
so,19,0.014474954020300253,2.7663349804766084
recite,19,0.0004274837515834475,7.376893281270956
bouc,19,0.00011055664396661604,7.697627771760997
troisiesme,19,0.026112308409876918,2.4589644270903186
proceder,19,0.0033039451822127097,3.9343430833445097
prefomption,19,0.00011055664396661604,9.318180986868578
coll,19,0.00011055664396661604,8.047519943204678
mauuais,18,0.09245258845403673,1.747158935037858
dæmons,18,0.0002011134574288903,9.318180986868574
ij,18,0.02163673036673544,2.662337424819593
illuy,18,0.0007444543381849166,5.990259205844085
ir,18,0.005309031673204191,3.494317870075716
thomas,18,0.011324291145164233,2.795454296060573
fain,18,0.011324291145164233,3.2255241877621996
figure,18,0.09245258845403673,1.7655500817224672
deteftable,18,0.002170821977948264,4.300698917016266
deteftables,18,0.0007444543381849166,5.990259205844085
cs,18,0.02163673036673544,2.662337424819593
hebrieu,18,0.0007444543381849166,5.241476805113574
tuer,18,0.09245258845403673,1.863636197373715
pr,18,0.02163673036673544,2.5413220873277935
uo,18,0.0007444543381849166,6.451048375524399
nommé,18,0.02163673036673544,2.7052783510263607
poudres,18,0.0002011134574288903,9.318180986868574
guerir,18,0.0002011134574288903,8.386362888181718
payens,17,0.0012878647895135235,6.600378199031908
beaux,17,0.017340155780351665,2.6848996063858612
cftoit,17,0.08430610519036043,1.908543093695973
commeil,17,0.08430610519036043,1.9318180094727537
humaines,17,0.0538660503162608,2.231113757419237
parlé,17,0.0538660503162608,2.169987353106381
filles,17,0.08430610519036043,1.8207939859398365
onb,17,0.00036412615723847614,9.318180986868576
magie,17,0.00036412615723847614,8.337319830356096
viue,17,0.0012878647895135235,5.657467027741635
ch,17,0.00844758578802704,3.2328383015666486
quife,17,0.00844758578802704,3.6002062903810406
certaines,17,0.0538660503162608,2.262986811096654
iuge,17,0.08430610519036043,1.8207939859398365
puny,17,0.0012878647895135235,5.8670028435839185
sort,17,0.0012878647895135235,5.280302559225526
ventre,17,0.00844758578802704,3.106060328956192
confeflion,17,0.00036412615723847614,8.800504265375876
luge,17,0.0012878647895135235,5.657467027741635
nu,16,0.04656127229727627,2.44411304573602
demons,16,0.0757835913871941,1.936245399868795
docteurs,16,0.005907107091276802,4.385026346761682
foubz,16,0.0006558504349962319,7.846889252099855
vengeance,16,0.013298300318776077,2.981817915797944
diabolique,16,0.0006558504349962319,9.318180986868576
fine,16,0.002211713249823047,5.141065372065421
mm,16,0.04656127229727627,2.4046918675789875
dequoy,16,0.04656127229727627,2.293706089075342
