document,term,tfidf
La réponse_corrected,peu,0.08733294060952866
La réponse_corrected,liures,0.08707990800030903
La réponse_corrected,cinq,0.08663854751323327
La réponse_corrected,denier,0.08462507753941961
La réponse_corrected,quatre,0.08361605939039796
La réponse_corrected,choses,0.0793935823722988
La réponse_corrected,an,0.0787832935906484
La réponse_corrected,poiffon,0.07836724715993333
La réponse_corrected,douze,0.07571798792669408
La réponse_corrected,billon,0.07502539306112067
La réponse_corrected,erain,0.07314276401593778
La réponse_corrected,efcu,0.07200643428290836
La réponse_corrected,roy,0.07147680169841746
La réponse_corrected,fix,0.06931083801058661
Le paradoxe_corrected,bien,0.3483185377389753
Le paradoxe_corrected,dieu,0.26170025918950607
Le paradoxe_corrected,vertus,0.19835175327011642
Le paradoxe_corrected,fouuerain,0.14655408626941993
Le paradoxe_corrected,vertu,0.1417516846036645
Le paradoxe_corrected,chofes,0.13915589089173913
Le paradoxe_corrected,paradoxe,0.13455398721322673
Le paradoxe_corrected,git,0.12870381385612992
Le paradoxe_corrected,ainfi,0.1228536404990331
Le paradoxe_corrected,pourquoy,0.12111196937677962
Le paradoxe_corrected,fapience,0.11958359885526752
Le paradoxe_corrected,homme,0.11610617924632512
Le paradoxe_corrected,chofe,0.11085678426857812
Le paradoxe_corrected,vices,0.10703413653517888
Le paradoxe_corrected,foit,0.10653284887360424
Le paradoxe_corrected,mal,0.10401178557483291
Le paradoxe_corrected,prudence,0.10321148880177963
Le paradoxe_corrected,amour,0.08264656386254851
Le paradoxe_corrected,faire,0.08105760240382932
Le paradoxe_corrected,encor,0.07277855169195342
Le paradoxe_corrected,felicité,0.07182239529896213
Le paradoxe_corrected,dire,0.06947794491756798
Le paradoxe_corrected,non,0.06947794491756798
Le paradoxe_corrected,rien,0.06947794491756798
Le paradoxe_corrected,ains,0.06920683964387406
Le paradoxe_corrected,ame,0.06862987512461735
Le paradoxe_corrected,donc,0.06772860456035631
Le paradoxe_corrected,bodin,0.06666348007625233
Le paradoxe_corrected,ariftote,0.06635185236767274
Le paradoxe_corrected,temperance,0.06329889457902008
Lettre_corrected,roy,0.27492996068494985
Lettre_corrected,party,0.18844955769848165
Lettre_corrected,navarre,0.1831368897804211
