document,term,tfidf
Le paradoxe_corrected,chose,0.09282857349524337
Le paradoxe_corrected,amour,0.08434605064939674
Le paradoxe_corrected,faire,0.08272441488605194
Le paradoxe_corrected,ariftote,0.07781202995293958
Le paradoxe_corrected,encor,0.07427511950053323
Le paradoxe_corrected,felicité,0.07329930136868548
Le paradoxe_corrected,dire,0.07090664133090166
Le paradoxe_corrected,non,0.07090664133090166
Le paradoxe_corrected,rien,0.07090664133090166
Le paradoxe_corrected,ains,0.07062996123583641
Le paradoxe_corrected,ame,0.07004113241719288
Le paradoxe_corrected,donc,0.06912132874830229
Le paradoxe_corrected,bodin,0.06803430178087072
Le paradoxe_corrected,temperance,0.06460052927417878
Le paradoxe_corrected,entre,0.06418409098056642
Lettre_corrected,roy,0.2754651726202413
Lettre_corrected,party,0.18881641641489558
Lettre_corrected,navarre,0.18349340621449195
Lettre_corrected,bourbon,0.17639769923972418
Lettre_corrected,monsieur,0.15291117184540998
Lettre_corrected,aisné,0.1386615170914105
Lettre_corrected,fils,0.1199425307590124
Lettre_corrected,bien,0.10517915860808645
Lettre_corrected,messieurs,0.10399613781855786
Lettre_corrected,loys,0.08305559086689773
Lettre_corrected,oncle,0.08282005855365013
Lettre_corrected,royaume,0.08234899392715496
Lettre_corrected,charles,0.07907908851782745
Lettre_corrected,cardinal,0.07807562859236525
Lettre_corrected,france,0.07523234898522761
Lettre_corrected,feu,0.07362541102566052
Lettre_corrected,foit,0.07049192089487934
Lettre_corrected,couronne,0.06999239271211476
Lettre_corrected,anthonio,0.06933075854570525
Lettre_corrected,eflát,0.06933075854570525
Lettre_corrected,preuoy,0.06933075854570525
Lettre_corrected,roine,0.06933075854570525
Lettre_corrected,loy,0.06886629315506032
Lettre_corrected,eftat,0.06648747893856762
Lettre_corrected,cela,0.06591831110384909
Lettre_corrected,dont,0.06591831110384909
Lettre_corrected,cefte,0.06557162871641524
Lettre_corrected,ville,0.06557162871641524
Lettre_corrected,catholique,0.062115043915237596
Lettre_corrected,maison,0.060278120350981915
Recueil_corrected,estats,0.36866697968093315
Recueil_corrected,roy,0.3169833758826249
Recueil_corrected,deputez,0.3056259820098113
Recueil_corrected,estat,0.2460896256042873
Recueil_corrected,tiers,0.21107472041192107
Recueil_corrected,assemblee,0.17056480868733867
Recueil_corrected,noblesse,0.14076639598588478
Recueil_corrected,president,0.14061426375429287
